Time,Te,RHe,Is
01.01.2023 00:00,7.5,88,0
01.01.2023 01:00,7,93,0
01.01.2023 02:00,6.7,93,0
01.01.2023 03:00,7,86,0
01.01.2023 04:00,7,84,0
01.01.2023 05:00,7,82,0
01.01.2023 06:00,7,85,0
01.01.2023 07:00,7.2,82,0
01.01.2023 08:00,7.2,82,0
01.01.2023 09:00,7.4,82,23
01.01.2023 10:00,7.1,89,15
01.01.2023 11:00,7.5,89,6
01.01.2023 12:00,7.4,94,0
01.01.2023 13:00,7.8,94,1
01.01.2023 14:00,7.9,95,10
01.01.2023 15:00,8.3,91,9
01.01.2023 16:00,7.7,85,0
01.01.2023 17:00,7.2,86,0
01.01.2023 18:00,7,79,0
01.01.2023 19:00,6,81,0
01.01.2023 20:00,5.7,82,0
01.01.2023 21:00,5.5,82,0
01.01.2023 22:00,5.5,78,0
01.01.2023 23:00,5.1,76,0
02.01.2023 00:00,5.4,70,0
02.01.2023 01:00,4.9,71,0
02.01.2023 02:00,5,70,0
02.01.2023 03:00,4.2,72,0
02.01.2023 04:00,4.1,76,0
02.01.2023 05:00,3.7,79,0
02.01.2023 06:00,4.2,74,0
02.01.2023 07:00,4.6,72,0
02.01.2023 08:00,4.4,76,0
02.01.2023 09:00,5,76,224
02.01.2023 10:00,5,79,366
02.01.2023 11:00,5.5,77,409
02.01.2023 12:00,5.8,76,437
02.01.2023 13:00,5.7,71,436
02.01.2023 14:00,5.9,70,383
02.01.2023 15:00,5.6,69,183
02.01.2023 16:00,5.1,78,0
02.01.2023 17:00,3.7,78,0
02.01.2023 18:00,4.2,79,0
02.01.2023 19:00,2.8,80,0
02.01.2023 20:00,2.6,81,0
02.01.2023 21:00,,80,0
02.01.2023 22:00,,81,0
02.01.2023 23:00,,83,0
03.01.2023 00:00,,86,0
03.01.2023 01:00,,86,0
03.01.2023 02:00,,86,0
03.01.2023 03:00,,86,0
03.01.2023 04:00,,89,0
03.01.2023 05:00,,86,0
03.01.2023 06:00,,87,0
03.01.2023 07:00,,90,0
03.01.2023 08:00,,87,0
03.01.2023 09:00,,90,73
