Time,D1,D2,D3,D4,D5
01.01.2023 00:00,3615.4,0,,3436.45,7051.85
01.01.2023 01:00,3643.71,0,,2744.12,6387.83
01.01.2023 02:00,3753.5,0,,2833.51,6587
01.01.2023 03:00,3698,0,,3204.73,6902.73
01.01.2023 04:00,3677.67,0,,3449.14,7126.81
01.01.2023 05:00,3696.92,0,,3620.83,7317.75
01.01.2023 06:00,3725.29,0,,3475.4,7200.69
01.01.2023 07:00,3719.05,0,,3526.81,7245.86
01.01.2023 08:00,3712.7,0,,3568.27,7280.97
01.01.2023 09:00,3629.99,0,,3496.02,7126.02
01.01.2023 10:00,66.33,0,,965.12,1031.45
01.01.2023 11:00,9,0,,689.65,698.66
01.01.2023 12:00,0,0,,360.49,360.49
01.01.2023 13:00,0,427.33,,671.95,1099.27
01.01.2023 14:00,0,854.65,,708.73,1563.38
01.01.2023 15:00,0,854.65,,838.7,1693.35
01.01.2023 16:00,0,854.65,,1840.6,2695.25
01.01.2023 17:00,0,854.65,,2348.27,3202.92
01.01.2023 18:00,3438.32,0,,3723.49,7161.81
01.01.2023 19:00,3699.58,0,,4096.14,7795.72
01.01.2023 20:00,3862.17,0,,4255.16,8117.33
01.01.2023 21:00,3916.64,0,,4342.61,8259.25
01.01.2023 22:00,3929.08,0,,4598.01,8527.08
01.01.2023 23:00,4032.27,0,,4911.41,8943.68
02.01.2023 00:00,3996.62,0,,5246.43,9243.05
02.01.2023 01:00,4116.61,0,,5416.92,9533.53
02.01.2023 02:00,4125.71,0,,5466.65,9592.36
02.01.2023 03:00,4500.55,0,,5592.74,10093.29
02.01.2023 04:00,4720.9,0,,5435.15,10156.06
02.01.2023 05:00,4963.86,0,,5340.13,10303.99
02.01.2023 06:00,4817.85,0,,5441.34,10259.19
02.01.2023 07:00,4555.17,0,,5474.58,10029.75
02.01.2023 08:00,4521.03,0,,5306.92,9827.95
02.01.2023 09:00,4017.95,0,,5080.77,9098.72
02.01.2023 10:00,3845.99,0,,4843.03,8689.02
02.01.2023 11:00,3802.93,0,,4747.83,8550.76
02.01.2023 12:00,3828.34,0,,4701.6,8529.94
02.01.2023 13:00,3856.88,0,,5015.47,8872.36
02.01.2023 14:00,3867.66,0,,5123.82,8991.47
02.01.2023 15:00,3984.69,0,,5267.51,9252.21
02.01.2023 16:00,4184.69,0,,4945.72,9130.41
02.01.2023 17:00,4888.12,0,,5241.69,10129.81
02.01.2023 18:00,4913.34,0,,5180.43,10093.77
02.01.2023 19:00,5560.54,0,,5466.51,11027.06
02.01.2023 20:00,5923.67,0,,5585.66,11509.32
02.01.2023 21:00,6026.77,0,,5667.91,11694.68
02.01.2023 22:00,6009.63,0,,5613.77,11623.4
02.01.2023 23:00,5952.34,0,,5470.97,11423.3
03.01.2023 00:00,5857.89,0,,5222.9,11080.79
03.01.2023 01:00,5790.54,0,,5126.84,10917.38
03.01.2023 02:00,5733.51,0,,5087.69,10821.2
03.01.2023 03:00,5325.97,0,,4821.54,10147.52
03.01.2023 04:00,5391.89,0,,4688.97,
03.01.2023 05:00,5456.45,0,,4817.66,
03.01.2023 06:00,5427.39,0,,4789.99,
03.01.2023 07:00,5510.34,0,,4666.33,
03.01.2023 08:00,5896.69,0,,5008.78,
03.01.2023 09:00,1541.5,0,,2543.22,
03.01.2023 10:00,818.49,0,,2410.74,
03.01.2023 11:00,725.73,0,,2384.41,
03.01.2023 12:00,,0,,2488.54,3022.85
03.01.2023 13:00,,0,,2404.2,2819.31
03.01.2023 14:00,,0,,2304.7,2728.76
03.01.2023 15:00,,0,,2574.29,3370.49
03.01.2023 16:00,,0,,2490.48,3507.34
03.01.2023 17:00,,0,,4556.03,9541
03.01.2023 18:00,,0,,,9859.63
03.01.2023 19:00,,0,,,10271.11
03.01.2023 20:00,,0,,,10179.22
03.01.2023 21:00,,0,,,11424.04
03.01.2023 22:00,,0,,,10710.02
03.01.2023 23:00,,0,,,10779.32
04.01.2023 00:00,,0,,,10660.39
04.01.2023 01:00,,0,,,10542.42
04.01.2023 02:00,,0,,,10822.89
04.01.2023 03:00,,0,,,10467.11
04.01.2023 04:00,,0,,,10251.3
04.01.2023 05:00,6026.92,0,,,10528.18
04.01.2023 06:00,5652.01,0,,,9878.18
