Time,Ti,RHi
01.01.2023 00:00,21,49.99
01.01.2023 01:00,20.99,50
01.01.2023 02:00,21,49.99
01.01.2023 03:00,21,50
01.01.2023 04:00,21,50
01.01.2023 05:00,21,49.99
01.01.2023 06:00,,50
01.01.2023 07:00,,50
01.01.2023 08:00,,50
01.01.2023 09:00,,50
01.01.2023 10:00,,49.99
01.01.2023 11:00,,49.97
01.01.2023 12:00,,49.96
01.01.2023 13:00,,49.29
01.01.2023 14:00,21.02,49.82
01.01.2023 15:00,21.02,49.96
01.01.2023 16:00,21.03,49.96
01.01.2023 17:00,21.05,49.96
01.01.2023 18:00,21.01,49.74
01.01.2023 19:00,21,50
01.01.2023 20:00,21,50
01.01.2023 21:00,21,50
01.01.2023 22:00,21,50.01
01.01.2023 23:00,20.99,50
02.01.2023 00:00,21,50
02.01.2023 01:00,21,50
02.01.2023 02:00,20.99,50.02
02.01.2023 03:00,21,49.99
02.01.2023 04:00,20.99,50.01
02.01.2023 05:00,21,50
02.01.2023 06:00,21,50
02.01.2023 07:00,21,50.01
02.01.2023 08:00,20.99,50.01
02.01.2023 09:00,21,49.99
02.01.2023 10:00,20.99,50.02
02.01.2023 11:00,20.99,50
02.01.2023 12:00,21,49.99
02.01.2023 13:00,20.99,50
02.01.2023 14:00,21,50
02.01.2023 15:00,20.99,50
02.01.2023 16:00,20.99,
02.01.2023 17:00,21,
02.01.2023 18:00,21,
02.01.2023 19:00,20.99,
02.01.2023 20:00,20.99,
02.01.2023 21:00,21,
02.01.2023 22:00,21,
02.01.2023 23:00,21,
03.01.2023 00:00,21,
03.01.2023 01:00,21,
03.01.2023 02:00,21,
03.01.2023 03:00,20.99,
03.01.2023 04:00,21,49.99
03.01.2023 05:00,20.99,50.01
03.01.2023 06:00,21,49.99
03.01.2023 07:00,20.99,50.01
03.01.2023 08:00,21,50
03.01.2023 09:00,21.02,49.95
03.01.2023 10:00,21.01,50.04
03.01.2023 11:00,21,50
03.01.2023 12:00,21,50
03.01.2023 13:00,21,50
03.01.2023 14:00,21,50
03.01.2023 15:00,21,50
03.01.2023 16:00,21.01,49.99
03.01.2023 17:00,21,50.02
03.01.2023 18:00,20.99,50.01
03.01.2023 19:00,20.99,50
03.01.2023 20:00,21,49.99
03.01.2023 21:00,21,49.8
03.01.2023 22:00,20.99,50.17
03.01.2023 23:00,21,50.03
04.01.2023 00:00,21,50
04.01.2023 01:00,20.99,50.01
04.01.2023 02:00,21,49.99
04.01.2023 03:00,20.99,50.01
04.01.2023 04:00,21,49.98
04.01.2023 05:00,21,50.01
04.01.2023 06:00,21,49.99
04.01.2023 07:00,21,50
04.01.2023 08:00,20.99,50.01
04.01.2023 09:00,21,49.98
04.01.2023 10:00,21.03,49.98
04.01.2023 11:00,21,50.02
04.01.2023 12:00,21,50
04.01.2023 13:00,21.01,49.99
04.01.2023 14:00,21.01,50
04.01.2023 15:00,21.03,49.91
04.01.2023 16:00,21.02,50.04
04.01.2023 17:00,21,50.06
04.01.2023 18:00,20.99,50
04.01.2023 19:00,21,49.99
04.01.2023 20:00,21,50
04.01.2023 21:00,20.99,50
04.01.2023 22:00,21,49.99
04.01.2023 23:00,21,49.99
05.01.2023 00:00,21,50
05.01.2023 01:00,21,50
05.01.2023 02:00,21,50
05.01.2023 03:00,21,49.99
05.01.2023 04:00,21,50
05.01.2023 05:00,21,49.99
05.01.2023 06:00,21,50
05.01.2023 07:00,21,50.01
05.01.2023 08:00,21,50
05.01.2023 09:00,21.01,49.99
05.01.2023 10:00,21.01,50
05.01.2023 11:00,21,50
05.01.2023 12:00,21.01,49.99
05.01.2023 13:00,21.01,50
05.01.2023 14:00,21.01,50
05.01.2023 15:00,21.01,50
05.01.2023 16:00,21.01,50
05.01.2023 17:00,21,50.02
05.01.2023 18:00,21,50
05.01.2023 19:00,21,49.99
05.01.2023 20:00,21,50
05.01.2023 21:00,20.99,50.01
05.01.2023 22:00,21,49.99
05.01.2023 23:00,21,49.99
06.01.2023 00:00,21,50.01
06.01.2023 01:00,21,50
06.01.2023 02:00,20.99,50.01
06.01.2023 03:00,21,50
06.01.2023 04:00,20.99,49.99
06.01.2023 05:00,20.99,50
06.01.2023 06:00,20.99,50
06.01.2023 07:00,21,49.99
06.01.2023 08:00,21,50
06.01.2023 09:00,21.01,49.99
06.01.2023 10:00,21.01,50
06.01.2023 11:00,21,50.01
06.01.2023 12:00,21.01,50
06.01.2023 13:00,21,50
06.01.2023 14:00,21.01,50
06.01.2023 15:00,21,50
06.01.2023 16:00,21,50
06.01.2023 17:00,21,50.02
06.01.2023 18:00,21,50.01
06.01.2023 19:00,21,49.99
06.01.2023 20:00,20.99,50.01
06.01.2023 21:00,21,49.99
06.01.2023 22:00,21,50
06.01.2023 23:00,21,50
07.01.2023 00:00,20.99,50.01
07.01.2023 01:00,21,50
07.01.2023 02:00,21,50
07.01.2023 03:00,21,50
07.01.2023 04:00,21,49.98
07.01.2023 05:00,21,50
07.01.2023 06:00,21,50
07.01.2023 07:00,21,50
07.01.2023 08:00,21,49.99
07.01.2023 09:00,21,50
07.01.2023 10:00,21.01,49.97
07.01.2023 11:00,21.01,50
07.01.2023 12:00,21.01,50
07.01.2023 13:00,21.01,50.02
07.01.2023 14:00,21.01,50.01
07.01.2023 15:00,21,50
07.01.2023 16:00,21.01,49.98
07.01.2023 17:00,21.03,48.72
07.01.2023 18:00,21,49.58
07.01.2023 19:00,21,49.96
07.01.2023 20:00,21,50
07.01.2023 21:00,21,49.98
07.01.2023 22:00,21,50
07.01.2023 23:00,21,49.99
08.01.2023 00:00,21,50
